Meter ID,Meter Name,Date,Asset Name,Asset Type,Project,Folder,Org ID,Org Type,Environment Name,Environment Type,Tier,IPU Per Unit,Usage,Consumption (IPUs)
3uIRkIV5Rt9lBbAPzeR5Kj,Application Integration,2025-12-09T00:00:00Z,null,null,null,null,64OAExn3HrTdhSZfzbroa1,Sandbox,01CR7S08000000000002_VLI_Logistica_DEV,Secure Agent,0.000 - 60.000,1.380000,0.121898055600,0.168219316728
3uIRkIV5Rt9lBbAPzeR5Kj,Application Integration,2025-12-08T00:00:00Z,null,null,null,null,64OAExn3HrTdhSZfzbroa1,Sandbox,01CR7S08000000000002_VLI_Logistica_DEV,Secure Agent,0.000 - 60.000,1.380000,0.051041944500,0.070437883410
5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-12-10T00:00:00Z,null,null,null,null,64OAExn3HrTdhSZfzbroa1,Sandbox,environmentId,Cloud Hosted Service,0.000 - 500000.000,0.830000,43367.000000000000,0.359946100000
5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-12-09T00:00:00Z,null,null,null,null,64OAExn3HrTdhSZfzbroa1,Sandbox,environmentId,Cloud Hosted Service,0.000 - 500000.000,0.830000,43367.000000000000,0.359946100000
5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-12-08T00:00:00Z,null,null,null,null,64OAExn3HrTdhSZfzbroa1,Sandbox,environmentId,Cloud Hosted Service,0.000 - 500000.000,0.830000,43367.000000000000,0.359946100000
a2nB20h1o0lc7k3P9xtWS8,Data Integration,2025-12-10T00:00:00Z,mt_TB_SALESFORCE_ACCOUNT_2_TB_CLIENTEGESTAO_Cli002,MCT,CLIENTE_QUALIDADE-STAGING,Salesforce - Cliente,64OAExn3HrTdhSZfzbroa1,Sandbox,VLI_Logistica_DEV,Secure Agent Group,0.000 - 2000.000,0.160000,0.023889000000,0.003822240000
a2nB20h1o0lc7k3P9xtWS8,Data Integration,2025-12-10T00:00:00Z,mt_TB_SALESFORCE_ACCOUNT_2_TB_CLIENTESEGMENTACAO_Cli002,MCT,CLIENTE_QUALIDADE-STAGING,Salesforce - Cliente,64OAExn3HrTdhSZfzbroa1,Sandbox,VLI_Logistica_DEV,Secure Agent Group,0.000 - 2000.000,0.160000,0.024722000000,0.003955520000
a2nB20h1o0lc7k3P9xtWS8,Data Integration,2025-12-09T00:00:00Z,mt_FF_SIOP_PORTOS_ENRIQUECIMENTO_2_TB_Pessoa_Cli003,MCT,CLIENTE_AUDITORIA-PREPARADA,SIOP PORTOS - Cliente,64OAExn3HrTdhSZfzbroa1,Sandbox,VLI_Logistica_DEV,Secure Agent Group,0.000 - 2000.000,0.160000,0.040000000000,0.006400000000
a2nB20h1o0lc7k3P9xtWS8,Data Integration,2025-12-09T00:00:00Z,mt_FF_SIOPTIPLAM_Pessoa_2_R_TB_Pessoa_Cli001,MCT,CLIENTE_REPLICA,SIOP Portos Tiplam,64OAExn3HrTdhSZfzbroa1,Sandbox,VLI_Logistica_DEV,Secure Agent Group,0.000 - 2000.000,0.160000,0.635279000000,0.101644640000
a2nB20h1o0lc7k3P9xtWS8,Data Integration,2025-12-09T00:00:00Z,mt_TB_SALESFORCE_ACCOUNT_2_TB_CLIENTEGESTAO_Cli002,MCT,CLIENTE_QUALIDADE-STAGING,Salesforce - Cliente,64OAExn3HrTdhSZfzbroa1,Sandbox,VLI_Logistica_DEV,Secure Agent Group,0.000 - 2000.000,0.160000,0.665830000000,0.106532800000
a2nB20h1o0lc7k3P9xtWS8,Data Integration,2025-12-09T00:00:00Z,mt_FF_SIOPTIPLAM_Pessoa_Tipo_2_R_TB_Pessoa_Tipo_Cli001,MCT,CLIENTE_REPLICA,SIOP Portos Tiplam,64OAExn3HrTdhSZfzbroa1,Sandbox,VLI_Logistica_DEV,Secure Agent Group,0.000 - 2000.000,0.160000,0.700556000000,0.112088960000
a2nB20h1o0lc7k3P9xtWS8,Data Integration,2025-12-09T00:00:00Z,mt_FF_SIOPPORTO_PESSOA_2_R_TB_Pessoa_Cli001,MCT,CLIENTE_REPLICA,SIOP Portos Geral,64OAExn3HrTdhSZfzbroa1,Sandbox,VLI_Logistica_DEV,Secure Agent Group,0.000 - 2000.000,0.160000,0.384722000000,0.061555520000
a2nB20h1o0lc7k3P9xtWS8,Data Integration,2025-12-09T00:00:00Z,mt_FF_SIOPPORTO_Pessoa_Tipo_2_R_TB_Pessoa_Tipo_Cli001,MCT,CLIENTE_REPLICA,SIOP Portos Geral,64OAExn3HrTdhSZfzbroa1,Sandbox,VLI_Logistica_DEV,Secure Agent Group,0.000 - 2000.000,0.160000,0.407778000000,0.065244480000
a2nB20h1o0lc7k3P9xtWS8,Data Integration,2025-12-09T00:00:00Z,mt_TB_PREPARADA_ACCOUNT_2_TB_CLIENTEGRANULAR_Cli003,MCT,CLIENTE_AUDITORIA-PREPARADA,SALESFORCE - Cliente,64OAExn3HrTdhSZfzbroa1,Sandbox,VLI_Logistica_DEV,Secure Agent Group,0.000 - 2000.000,0.160000,0.083616000000,0.013378560000
a2nB20h1o0lc7k3P9xtWS8,Data Integration,2025-12-09T00:00:00Z,mt_TB_SALESFORCE_ACCOUNT_2_TB_CLIENTESEGMENTACAO_Cli002,MCT,CLIENTE_QUALIDADE-STAGING,Salesforce - Cliente,64OAExn3HrTdhSZfzbroa1,Sandbox,VLI_Logistica_DEV,Secure Agent Group,0.000 - 2000.000,0.160000,0.391947000000,0.062711520000
a2nB20h1o0lc7k3P9xtWS8,Data Integration,2025-12-09T00:00:00Z,mt_FF_SIOPTIPLAM_TIPO_PESSOA_2_R_TB_Tipo_Pessoa_Cli001,MCT,CLIENTE_REPLICA,SIOP Portos Tiplam,64OAExn3HrTdhSZfzbroa1,Sandbox,VLI_Logistica_DEV,Secure Agent Group,0.000 - 2000.000,0.160000,0.616667000000,0.098666720000
a2nB20h1o0lc7k3P9xtWS8,Data Integration,2025-12-09T00:00:00Z,mt_FF_SIOPADM_CLIENTE_Empresas_2_R_TB_Empresas_Cli001,MCT,CLIENTE_REPLICA,SIOP Terminais,64OAExn3HrTdhSZfzbroa1,Sandbox,VLI_Logistica_DEV,Secure Agent Group,0.000 - 2000.000,0.160000,0.085555000000,0.013688800000
a2nB20h1o0lc7k3P9xtWS8,Data Integration,2025-12-09T00:00:00Z,mt_FF_SIOPPORTO_TIPO_PESSOA_2_R_TB_Tipo_Pessoa_Cli001,MCT,CLIENTE_REPLICA,SIOP Portos Geral,64OAExn3HrTdhSZfzbroa1,Sandbox,VLI_Logistica_DEV,Secure Agent Group,0.000 - 2000.000,0.160000,0.364167000000,0.058266720000
a2nB20h1o0lc7k3P9xtWS8,Data Integration,2025-12-09T00:00:00Z,mt_FF_SALESFORCE_ENRIQUECIMENTO_2_TB_Account_Cli003,MCT,CLIENTE_AUDITORIA-PREPARADA,SALESFORCE - Cliente,64OAExn3HrTdhSZfzbroa1,Sandbox,VLI_Logistica_DEV,Secure Agent Group,0.000 - 2000.000,0.160000,0.853609000000,0.136577440000
