Task ID,Task Name,Task Object Name,Task Type,Task Run ID,Project Name,Folder Name,Org ID,Environment ID,Environment,Cores Used,Start Time,End Time,Status,Metered Value,Audit Time,OBM Task Time(s)
01CR7S0Z000000000071,m_FF_GRANULAR_ENRIQUECIMENTO_2_TB_PREPARACAO_CLIENTEGRANULAR,,MTT_TEST,41,CLIENTE_ENTRADA_DESACOPLADA,,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-07 18:06:05.0,2025-08-07 18:06:20.0,SUCCESS,0.004167,2025-08-07 18:06:19.0,0
01CR7S0Z000000000071,m_FF_GRANULAR_ENRIQUECIMENTO_2_TB_PREPARACAO_CLIENTEGRANULAR,,MTT_TEST,42,CLIENTE_ENTRADA_DESACOPLADA,,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-07 18:40:55.0,2025-08-07 18:41:09.0,SUCCESS,0.003889,2025-08-07 18:41:09.0,0
01CR7S0Z000000000071,m_FF_GRANULAR_ENRIQUECIMENTO_2_TB_PREPARACAO_CLIENTEGRANULAR,,MTT_TEST,43,CLIENTE_ENTRADA_DESACOPLADA,,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-07 19:58:20.0,2025-08-07 19:58:34.0,SUCCESS,0.003889,2025-08-07 19:58:34.0,0
01CR7S0Z000000000071,m_FF_GRANULAR_ENRIQUECIMENTO_2_TB_PREPARACAO_CLIENTEGRANULAR,,MTT_TEST,44,CLIENTE_ENTRADA_DESACOPLADA,,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-07 20:12:24.0,2025-08-07 20:12:39.0,SUCCESS,0.004167,2025-08-07 20:12:38.0,0
01CR7S0Z00000000005L,m_TB_CLIENTE_GRANULAR_2_FF_FULL_GRANULAR_Cli006,,MTT_TEST,3,CLIENTE_FULL_FILES_API,Cliente_Granular_Full,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-12 20:13:18.0,2025-08-12 20:13:29.0,SUCCESS,0.003056,2025-08-12 20:13:29.0,0
01CR7S0Z000000000059,m_TB_PREPARADA_ACCOUNT_2_TB_CLIENTEGRANULAR_Cli003,,MTT_TEST,12,CLIENTE_AUDITORIA-PREPARADA,SALESFORCE - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-13 12:20:54.0,2025-08-13 12:21:04.0,SUCCESS,0.002778,2025-08-13 12:21:04.0,0
01CR7S0Z000000000059,m_TB_PREPARADA_ACCOUNT_2_TB_CLIENTEGRANULAR_Cli003,,MTT_TEST,13,CLIENTE_AUDITORIA-PREPARADA,SALESFORCE - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-13 12:26:19.0,2025-08-13 12:26:28.0,SUCCESS,0.0025,2025-08-13 12:26:28.0,0
01CR7S0Z000000000059,m_TB_PREPARADA_ACCOUNT_2_TB_CLIENTEGRANULAR_Cli003,,MTT_TEST,14,CLIENTE_AUDITORIA-PREPARADA,SALESFORCE - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-13 12:29:53.0,2025-08-13 12:30:03.0,SUCCESS,0.002778,2025-08-13 12:30:03.0,0
01CR7S0Z000000000059,m_TB_PREPARADA_ACCOUNT_2_TB_CLIENTEGRANULAR_Cli003,,MTT_TEST,15,CLIENTE_AUDITORIA-PREPARADA,SALESFORCE - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-13 12:30:38.0,2025-08-13 12:30:46.0,SUCCESS,0.002222,2025-08-13 12:30:46.0,0
01CR7S0Z00000000004S,m_FF_SALESFORCE_ENRIQUECIMENTO_2_TB_Account_Cli003,,MTT_TEST,89,CLIENTE_AUDITORIA-PREPARADA,SALESFORCE - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.2599480103979204,2025-08-13 13:37:15.0,2025-08-13 13:38:44.0,WARNING,0.024722,2025-08-13 13:38:44.0,0
01CR7S0Z00000000004S,m_FF_SALESFORCE_ENRIQUECIMENTO_2_TB_Account_Cli003,,MTT_TEST,90,CLIENTE_AUDITORIA-PREPARADA,SALESFORCE - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.2,2025-08-13 13:45:36.0,2025-08-13 13:48:51.0,WARNING,0.054167,2025-08-13 13:48:50.0,0
01CR7S0Z00000000004S,m_FF_SALESFORCE_ENRIQUECIMENTO_2_TB_Account_Cli003,,MTT_TEST,91,CLIENTE_AUDITORIA-PREPARADA,SALESFORCE - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.28594281143771244,2025-08-13 13:53:40.0,2025-08-13 13:55:20.0,WARNING,0.027778,2025-08-13 13:55:19.0,0
