Meter ID,Meter Name,Date,Asset Name,Asset Type,Project,Folder,Org ID,Org Type,Environment Name,Environment Type,Tier,IPU Per Unit,Usage,Consumption (IPUs)
5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-08-15T00:00:00Z,null,null,null,null,64OAExn3HrTdhSZfzbroa1,Sandbox,environmentId,Cloud Hosted Service,0.000 - 500000.000,0.830000,116042.000000000000,0.963148600000
3sY0I8UHjyTiXcLzZI1fqj,Governance Records,2025-08-15T00:00:00Z,null,null,null,null,64OAExn3HrTdhSZfzbroa1,Sandbox,environmentId,Cloud Hosted Service,0.000 - 40000.000,9.500000,9.000000000000,0.008550000000
jRkQw2YQksQjLqowj7Mveq,MDM Data Integration,2025-08-15T00:00:00Z,mt_MDM_2_CLIENTE_BUSINESS_ENTITY_Cli005,MCT,CLIENTE_GOLDEN_RECORD,BUSINESS ENTITY CLIENTE,64OAExn3HrTdhSZfzbroa1,Sandbox,VLI_Logistica_DEV,Secure Agent Group,0.000 +,0.000000,0.021111000000,0.000000000000
jRkQw2YQksQjLqowj7Mveq,MDM Data Integration,2025-08-15T00:00:00Z,mt_P_TB_SIOP_TERMINAIS_2_MDM_Cli004,MCT,CLIENTE_GOLDEN_RECORD,SIOP TERMINAIS,64OAExn3HrTdhSZfzbroa1,Sandbox,VLI_Logistica_DEV,Secure Agent Group,0.000 +,0.000000,0.011944000000,0.000000000000
jRkQw2YQksQjLqowj7Mveq,MDM Data Integration,2025-08-15T00:00:00Z,mt_P_TB_CLIENTE_EXTERNO_2_MDM_Cli004,MCT,CLIENTE_GOLDEN_RECORD,PNE CLIENTE EXTERNO,64OAExn3HrTdhSZfzbroa1,Sandbox,VLI_Logistica_DEV,Secure Agent Group,0.000 +,0.000000,0.020833000000,0.000000000000
jRkQw2YQksQjLqowj7Mveq,MDM Data Integration,2025-08-15T00:00:00Z,mt_P_TB_SIOP_PORTO_TIPLAM_2_MDM_Cli004,MCT,CLIENTE_GOLDEN_RECORD,SIOP PORTO TIPLAM,64OAExn3HrTdhSZfzbroa1,Sandbox,VLI_Logistica_DEV,Secure Agent Group,0.000 +,0.000000,0.021111000000,0.000000000000
jRkQw2YQksQjLqowj7Mveq,MDM Data Integration,2025-08-15T00:00:00Z,mt_P_TB_SIOP_PORTO_GERAL_2_MDM_Cli004,MCT,CLIENTE_GOLDEN_RECORD,SIOP PORTO GERAL,64OAExn3HrTdhSZfzbroa1,Sandbox,VLI_Logistica_DEV,Secure Agent Group,0.000 +,0.000000,0.016389000000,0.000000000000
jRkQw2YQksQjLqowj7Mveq,MDM Data Integration,2025-08-15T00:00:00Z,mt_P_TB_SALESFORCE_ACCOUNT_2_MDM_Cli004,MCT,CLIENTE_GOLDEN_RECORD,SALESFORCE ACCOUNT,64OAExn3HrTdhSZfzbroa1,Sandbox,VLI_Logistica_DEV,Secure Agent Group,0.000 +,0.000000,0.035833000000,0.000000000000
xQ7fB0n3HtM8JlZk2W6sX1,Metadata Record Consumption,2025-08-15T00:00:00Z,null,null,null,null,64OAExn3HrTdhSZfzbroa1,Sandbox,SERVERLESS,SERVERLESS,0.000 - 100000.000,0.000001,1.000000000000,0.000000001000
3e7ccb904b3011eebe5602,Taskflow Run,2025-08-15T00:00:00Z,null,null,null,null,64OAExn3HrTdhSZfzbroa1,Sandbox,_Cloud_,Serverless,0.000 +,0.000000,6.000000000000,0.000000000000
