Org ID,Execution type,Executed asset,Date (in UTC),Invoked by,Execution env,status,Execution count,Total Execution time (in hours),Average Execution time (in seconds)
4xiVO2awWKCdQC52Ap0tYk,Process,p_IICS_JOBS_EXECUTION,2025-07-30,Scheduler,010EIL08000000000006_srvorys.localdomain,Faulted,1,0.0002927778,1.05400
4xiVO2awWKCdQC52Ap0tYk,Process,p_IICS_API_EXECUTION,2025-07-31,Scheduler,010EIL08000000000006_srvorys.localdomain,Faulted,1,0.0002050000,0.73800
4xiVO2awWKCdQC52Ap0tYk,Process,p_IICS_JOBS_EXECUTION,2025-07-31,Scheduler,010EIL08000000000006_srvorys.localdomain,Faulted,1,0.0002794444,1.00600
4xiVO2awWKCdQC52Ap0tYk,Process,p_IICS_API_EXECUTION,2025-08-01,Scheduler,010EIL08000000000006_srvorys.localdomain,Faulted,1,0.0001886111,0.67900
4xiVO2awWKCdQC52Ap0tYk,Process,p_IICS_JOBS_EXECUTION,2025-08-01,Scheduler,010EIL08000000000006_srvorys.localdomain,Faulted,1,0.0002650000,0.95400
4xiVO2awWKCdQC52Ap0tYk,Process,p_IICS_API_EXECUTION,2025-08-02,Scheduler,010EIL08000000000006_srvorys.localdomain,Faulted,1,0.0002666667,0.96000
4xiVO2awWKCdQC52Ap0tYk,Process,p_IICS_JOBS_EXECUTION,2025-08-02,Scheduler,010EIL08000000000006_srvorys.localdomain,Faulted,1,0.0004405556,1.58600
4xiVO2awWKCdQC52Ap0tYk,Process,p_IICS_API_EXECUTION,2025-08-03,Scheduler,010EIL08000000000006_srvorys.localdomain,Faulted,1,0.0002088889,0.75200
4xiVO2awWKCdQC52Ap0tYk,Process,p_IICS_JOBS_EXECUTION,2025-08-03,Scheduler,010EIL08000000000006_srvorys.localdomain,Faulted,1,0.0002655556,0.95600
4xiVO2awWKCdQC52Ap0tYk,Process,p_IICS_API_EXECUTION,2025-08-04,Scheduler,010EIL08000000000006_srvorys.localdomain,Faulted,1,0.0002333333,0.84000
4xiVO2awWKCdQC52Ap0tYk,Process,p_IICS_JOBS_EXECUTION,2025-08-04,Scheduler,010EIL08000000000006_srvorys.localdomain,Faulted,1,0.0003002778,1.08100
4xiVO2awWKCdQC52Ap0tYk,Process,p_IICS_API_EXECUTION,2025-08-05,Scheduler,010EIL08000000000006_srvorys.localdomain,Faulted,1,0.0002258333,0.81300
4xiVO2awWKCdQC52Ap0tYk,Process,p_IICS_JOBS_EXECUTION,2025-08-05,Scheduler,010EIL08000000000006_srvorys.localdomain,Faulted,1,0.0002988889,1.07600
4xiVO2awWKCdQC52Ap0tYk,Process,p_IICS_API_EXECUTION,2025-08-06,Scheduler,010EIL08000000000006_srvorys.localdomain,Faulted,1,0.0001947222,0.70100
4xiVO2awWKCdQC52Ap0tYk,Process,p_IICS_JOBS_EXECUTION,2025-08-06,Scheduler,010EIL08000000000006_srvorys.localdomain,Faulted,1,0.0002733333,0.98400
4xiVO2awWKCdQC52Ap0tYk,Process,p_IICS_API_EXECUTION,2025-08-07,Scheduler,010EIL08000000000006_srvorys.localdomain,Faulted,1,0.0002016667,0.72600
4xiVO2awWKCdQC52Ap0tYk,Process,p_IICS_JOBS_EXECUTION,2025-08-07,Scheduler,010EIL08000000000006_srvorys.localdomain,Faulted,1,0.0002744444,0.98800
4xiVO2awWKCdQC52Ap0tYk,Process,p_IICS_API_EXECUTION,2025-08-08,Scheduler,010EIL08000000000006_srvorys.localdomain,Faulted,1,0.0002747222,0.98900
4xiVO2awWKCdQC52Ap0tYk,Process,p_IICS_JOBS_EXECUTION,2025-08-08,Scheduler,010EIL08000000000006_srvorys.localdomain,Faulted,1,0.0004330556,1.55900
