Date,Project,Folder,Org ID,Org Type,Consumption (IPUs)
2025-12-10T00:00:00Z,null,null,4xiVO2awWKCdQC52Ap0tYk,Production,0.001900000000
2025-12-09T00:00:00Z,null,null,4xiVO2awWKCdQC52Ap0tYk,Production,0.001900000000
2025-12-09T00:00:00Z,CLOSE-UP,DEMO,4xiVO2awWKCdQC52Ap0tYk,Production,0.079470080000
2025-12-09T00:00:00Z,ORYS,null,4xiVO2awWKCdQC52Ap0tYk,Production,0.227378240000
2025-12-08T00:00:00Z,null,null,4xiVO2awWKCdQC52Ap0tYk,Production,0.001900000000
2025-12-08T00:00:00Z,ORYS,null,4xiVO2awWKCdQC52Ap0tYk,Production,0.228356000000
