Meter ID,Meter Name,Date,Asset Name,Asset Type,Project,Folder,Org ID,Org Type,Environment Name,Environment Type,Tier,IPU Per Unit,Usage,Consumption (IPUs)
5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-09-17T00:00:00Z,null,null,null,null,3iIXLENg80KlHtUCJmWA8R,Production,environmentId,Cloud Hosted Service,0.000 - 500000.000,0.830000,143291.000000000000,1.189315300000
5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-09-16T00:00:00Z,null,null,null,null,3iIXLENg80KlHtUCJmWA8R,Production,environmentId,Cloud Hosted Service,0.000 - 500000.000,0.830000,143291.000000000000,1.189315300000
5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-09-15T00:00:00Z,null,null,null,null,3iIXLENg80KlHtUCJmWA8R,Production,environmentId,Cloud Hosted Service,0.000 - 500000.000,0.830000,143291.000000000000,1.189315300000
5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-09-14T00:00:00Z,null,null,null,null,3iIXLENg80KlHtUCJmWA8R,Production,environmentId,Cloud Hosted Service,0.000 - 500000.000,0.830000,143291.000000000000,1.189315300000
5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-09-13T00:00:00Z,null,null,null,null,3iIXLENg80KlHtUCJmWA8R,Production,environmentId,Cloud Hosted Service,0.000 - 500000.000,0.830000,143291.000000000000,1.189315300000
5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-09-12T00:00:00Z,null,null,null,null,3iIXLENg80KlHtUCJmWA8R,Production,environmentId,Cloud Hosted Service,0.000 - 500000.000,0.830000,143291.000000000000,1.189315300000
5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-09-11T00:00:00Z,null,null,null,null,3iIXLENg80KlHtUCJmWA8R,Production,environmentId,Cloud Hosted Service,0.000 - 500000.000,0.830000,143291.000000000000,1.189315300000
5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-09-10T00:00:00Z,null,null,null,null,3iIXLENg80KlHtUCJmWA8R,Production,environmentId,Cloud Hosted Service,0.000 - 500000.000,0.830000,143291.000000000000,1.189315300000
5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-09-09T00:00:00Z,null,null,null,null,3iIXLENg80KlHtUCJmWA8R,Production,environmentId,Cloud Hosted Service,0.000 - 500000.000,0.830000,143291.000000000000,1.189315300000
3sY0I8UHjyTiXcLzZI1fqj,Governance Records,2025-10-09T00:00:00Z,null,null,null,null,3iIXLENg80KlHtUCJmWA8R,Production,environmentId,Cloud Hosted Service,0.000 - 40000.000,9.500000,250.000000000000,0.237500000000
3sY0I8UHjyTiXcLzZI1fqj,Governance Records,2025-10-08T00:00:00Z,null,null,null,null,3iIXLENg80KlHtUCJmWA8R,Production,environmentId,Cloud Hosted Service,0.000 - 40000.000,9.500000,250.000000000000,0.237500000000
3sY0I8UHjyTiXcLzZI1fqj,Governance Records,2025-10-07T00:00:00Z,null,null,null,null,3iIXLENg80KlHtUCJmWA8R,Production,environmentId,Cloud Hosted Service,0.000 - 40000.000,9.500000,250.000000000000,0.237500000000
3sY0I8UHjyTiXcLzZI1fqj,Governance Records,2025-10-06T00:00:00Z,null,null,null,null,3iIXLENg80KlHtUCJmWA8R,Production,environmentId,Cloud Hosted Service,0.000 - 40000.000,9.500000,250.000000000000,0.237500000000
